id ,kode,nama,kategori,link_kategori,jenis,stock,harga_beli,suplier,tanggal_masuk,created_at,updated_at,d_ss,L,Z,SS,d_rop,ROP,AU
6,CS-SCP-1,Cast Steel SCPH1,Cast Steel,CS,JIS,35,,Rakan Pratama Mandiri,,8/8/2022 1:38,8/8/2022 1:38,,3,,0.6,,7,2
7,CS-SCR-415,Cast Steel SCR415H,Cast Steel,CS,JIS,47,,Rahayu Teknik,,8/9/2022 1:38,8/9/2022 1:38,,3,,0.5,,6,2
8,CS-SCR-420,Cast Steel SCR420H,Cast Steel,CS,JIS,52,,Rahayu Teknik,,8/10/2022 1:38,8/10/2022 1:38,,3,,0.6,,7,2
9,CS-SCR-430,Cast Steel SCR430H,Cast Steel,CS,JIS,33,,Rahayu Teknik,,8/11/2022 1:38,8/11/2022 1:38,,3,,0.5,,5,2
10,CS-SCR-435,Cast Steel SCR435H,Cast Steel,CS,JIS,12,,Rahayu Teknik,,8/12/2022 1:38,8/12/2022 1:38,,3,,0.5,,5,2
11,CS-SCR-440,Cast Steel SCR440H,Cast Steel,CS,JIS,62,,Rahayu Teknik,,8/13/2022 1:38,8/13/2022 1:38,,3,,0.6,,7,2
12,CS-SCM-415,Cast Steel SCM415H,Cast Steel,CS,JIS,17,,Rakan Pratama Mandiri,,8/14/2022 1:38,8/14/2022 1:38,,3,,0.6,,7,2
13,CS-SCM-418,Cast Steel SCM418H,Cast Steel,CS,JIS,27,,Rakan Pratama Mandiri,,8/15/2022 1:38,8/15/2022 1:38,,3,,0.5,,6,2
14,CS-SCM-419,Cast Steel SCM419H,Cast Steel,CS,JIS,11,,Rakan Pratama Mandiri,,8/16/2022 1:38,8/16/2022 1:38,,3,,0.6,,6,2
15,CS-SCM-420,Cast Steel SCM420H,Cast Steel,CS,JIS,43,,Rakan Pratama Mandiri,,8/17/2022 1:38,8/17/2022 1:38,,3,,0.5,,6,2
16,CS-SCM-435,Cast Steel SCM435H,Cast Steel,CS,JIS,76,,Rakan Pratama Mandiri,,8/18/2022 1:38,8/18/2022 1:38,,3,,0.6,,6,2
17,CS-SCM-440,Cast Steel SCM440H,Cast Steel,CS,JIS,31,,Rakan Pratama Mandiri,,8/19/2022 1:38,8/19/2022 1:38,,3,,0.5,,6,2
18,CS-SCM-445,Cast Steel SCM445H,Cast Steel,CS,JIS,47,,Rakan Pratama Mandiri,,8/20/2022 1:38,8/20/2022 1:38,,3,,0.5,,6,2
19,CS-SCM-822,Cast Steel SCM822H,Cast Steel,CS,JIS,25,,Rakan Pratama Mandiri,,8/21/2022 1:38,8/21/2022 1:38,,3,,0.5,,6,2
20,CS-SCP-5,Cast Steel SCPH5,Cast Steel,CS,JIS,29,,Rakan Pratama Mandiri,,8/22/2022 1:38,8/22/2022 1:38,,3,,0.5,,6,2
21,CS-SCM-480,Cast Steel SCM480H,Cast Steel,CS,JIS,6,,Rakan Pratama Mandiri,,8/23/2022 1:38,8/23/2022 1:38,,3,,0.5,,5,2
22,CS-SCM-490,Cast Steel SCM490H,Cast Steel,CS,JIS,59,,Rakan Pratama Mandiri,,8/24/2022 1:38,8/24/2022 1:38,,3,,0.6,,6,2
23,CS-SCM-465,Cast Steel SCM465H,Cast Steel,CS,JIS,58,,Rakan Pratama Mandiri,,8/25/2022 1:38,8/25/2022 1:38,,3,,0.5,,6,2
24,CS-SCP-2,Cast Steel SCPH2,Cast Steel,CS,JIS,62,,Rakan Pratama Mandiri,,8/26/2022 1:38,8/26/2022 1:38,,3,,0.5,,5,2
25,CS-SCR-450,Cast Steel SCR450H,Cast Steel,CS,JIS,80,,Rahayu Teknik,,8/27/2022 1:38,8/27/2022 1:38,,3,,0.5,,5,2
26,CS-SCR-465,Cast Steel SCR465H,Cast Steel,CS,JIS,42,,Rahayu Teknik,,8/28/2022 1:38,8/28/2022 1:38,,3,,0.5,,5,2
27,CS-SUS-42J8,Cast Steel SUS420J8,Cast Steel,CS,JIS,57,,Inti Sarana Kreasi,,8/29/2022 1:38,8/29/2022 1:38,,3,,0.5,,6,2
28,CS-SUS-438,Cast Steel SUS438,Cast Steel,CS,JIS,18,,Inti Sarana Kreasi,,8/30/2022 1:38,8/30/2022 1:38,,3,,0.4,,5,1
29,CS-SUS-440B,Cast Steel SUS440B,Cast Steel,CS,JIS,72,,Inti Sarana Kreasi,,8/31/2022 1:38,8/31/2022 1:38,,3,,0.5,,6,2
30,CS-SUS-440F,Cast Steel SUS440F,Cast Steel,CS,JIS,77,,Inti Sarana Kreasi,,9/1/2022 1:38,9/1/2022 1:38,,3,,0.6,,7,2
31,CS-SUS-634,Cast Steel SUS634,Cast Steel,CS,JIS,75,,Inti Sarana Kreasi,,9/2/2022 1:38,9/2/2022 1:38,,3,,0.6,,6,2
32,CBS-SC-15,Carbon Steel S15C,Carbon Steel,CBS,JIS,44,,PT. Gemilang Mahakarya ,,9/3/2022 1:38,9/3/2022 1:38,,5,,0.9,,10,2
33,CBS-SC-17,Carbon Steel S17C,Carbon Steel,CBS,JIS,64,,PT. Gemilang Mahakarya ,,9/4/2022 1:38,9/4/2022 1:38,,5,,0.8,,9,2
34,CBS-SC-20,Carbon Steel S20C,Carbon Steel,CBS,JIS,57,,PT. Gemilang Mahakarya ,,9/5/2022 1:38,9/5/2022 1:38,,5,,1,,10,2
35,CBS-SC-22,Carbon Steel S22C,Carbon Steel,CBS,JIS,77,,PT. Gemilang Mahakarya ,,9/6/2022 1:38,9/6/2022 1:38,,5,,0.8,,9,2
36,CBS-SC-25,Carbon Steel S25C,Carbon Steel,CBS,JIS,48,,PT. Gemilang Mahakarya ,,9/7/2022 1:38,9/7/2022 1:38,,5,,0.9,,10,2
37,CBS-SC-28,Carbon Steel S28C,Carbon Steel,CBS,JIS,13,,PT. Gemilang Mahakarya ,,9/8/2022 1:38,9/8/2022 1:38,,5,,1,,11,2
38,CBS-SC-30,Carbon Steel S30C,Carbon Steel,CBS,JIS,15,,PT. Gemilang Mahakarya ,,9/9/2022 1:38,9/9/2022 1:38,,5,,0.9,,10,2
39,CBS-SC-38,Carbon Steel S38C,Carbon Steel,CBS,JIS,72,,PT. Gemilang Mahakarya ,,9/10/2022 1:38,9/10/2022 1:38,,5,,1,,11,2
40,CBS-SC-40,Carbon Steel S40C,Carbon Steel,CBS,JIS,80,,PT. Gemilang Mahakarya ,,9/11/2022 1:38,9/11/2022 1:38,,5,,0.9,,9,2
41,CBS-SC-43,Carbon Steel S43C,Carbon Steel,CBS,JIS,54,,PT. Gemilang Mahakarya ,,9/12/2022 1:38,9/12/2022 1:38,,5,,1,,11,2
42,CBS-SC-45,Carbon Steel S45C,Carbon Steel,CBS,JIS,32,,PT. Gemilang Mahakarya ,,9/13/2022 1:38,9/13/2022 1:38,,5,,0.8,,9,2
43,CBS-SC-50,Carbon Steel S50C,Carbon Steel,CBS,JIS,13,,PT. Gemilang Mahakarya ,,9/14/2022 1:38,9/14/2022 1:38,,5,,0.9,,10,2
44,CBS-SC-53,Carbon Steel S53C,Carbon Steel,CBS,JIS,53,,PT. Gemilang Mahakarya ,,9/15/2022 1:38,9/15/2022 1:38,,5,,0.8,,9,2
45,CBS-SC-55,Carbon Steel S55C,Carbon Steel,CBS,JIS,12,,PT. Gemilang Mahakarya ,,9/16/2022 1:38,9/16/2022 1:38,,5,,0.8,,9,2
46,CBS-SC-58,Carbon Steel S58C,Carbon Steel,CBS,JIS,32,,PT. Gemilang Mahakarya ,,9/17/2022 1:38,9/17/2022 1:38,,5,,0.9,,10,2
47,CBS-SC-35,Carbon Steel S35C,Carbon Steel,CBS,JIS,43,,PT. Gemilang Mahakarya ,,9/18/2022 1:38,9/18/2022 1:38,,5,,0.9,,9,2
48,CBS-SC-21,Carbon Steel S21C,Carbon Steel,CBS,JIS,70,,PT. Gemilang Mahakarya ,,9/19/2022 1:38,9/19/2022 1:38,,5,,0.9,,10,2
49,CBS-SC-35,Carbon Steel S35C,Carbon Steel,CBS,JIS,60,,PT. Gemilang Mahakarya ,,9/20/2022 1:38,9/20/2022 1:38,,5,,1,,11,2
50,CBS-SC-78,Carbon Steel S78C,Carbon Steel,CBS,JIS,72,,PT. Gemilang Mahakarya ,,9/21/2022 1:38,9/21/2022 1:38,,5,,1,,11,2
51,CBS-SC-44,Carbon Steel S44C,Carbon Steel,CBS,JIS,43,,PT. Gemilang Mahakarya ,,9/22/2022 1:38,9/22/2022 1:38,,5,,0.8,,9,2
52,CBS-AIS-1015,Carbon Steel AISI1015,Carbon Steel,CBS,AISI,76,,PT. Gemilang Mahakarya ,,9/23/2022 1:38,9/23/2022 1:38,,5,,1,,11,2
53,CBS-AIS-1017,Carbon Steel AISI1017,Carbon Steel,CBS,AISI,33,,PT. Gemilang Mahakarya ,,9/24/2022 1:38,9/24/2022 1:38,,5,,0.9,,10,2
54,CBS-AIS-1020,Carbon Steel AISI1020,Carbon Steel,CBS,AISI,43,,PT. Gemilang Mahakarya ,,9/25/2022 1:38,9/25/2022 1:38,,5,,0.8,,8,2
