id ,nama_kategori,link_kategori,created_at,updated_at
1,Cast Steel,CS,2022-08-11 21:44:35,2022-08-12 21:44:35
2,Carbon Steel,CBS,2022-08-12 21:44:35,2022-08-13 21:44:35
3,Stainless Steel,SS,2022-08-13 21:44:35,2022-08-14 21:44:35
4,Heat Resiting Steel,HRS,2022-08-14 21:44:35,2022-08-15 21:44:35
5,Forged Steel,FS,2022-08-15 21:44:35,2022-08-16 21:44:35
6,Al-Alloy-Metal,AAM,2022-08-16 21:44:35,2022-08-17 21:44:35
7,White Metal,WM,2022-08-17 21:44:35,2022-08-18 21:44:35
8,Ni-Cr-Mau Steel,NMS,2022-08-18 21:44:35,2022-08-19 21:44:35
9,N-Cr Steel,NCS,2022-08-19 21:44:35,2022-08-20 21:44:35
10,,,2022-08-20 21:44:35,2022-08-21 21:44:35
11,,,2022-08-21 21:44:35,2022-08-22 21:44:35
12,,,2022-08-22 21:44:35,2022-08-23 21:44:35
13,,,2022-08-23 21:44:35,2022-08-24 21:44:35
14,,,2022-08-24 21:44:35,2022-08-25 21:44:35
15,,,2022-08-25 21:44:35,2022-08-26 21:44:35
16,,,2022-08-26 21:44:35,2022-08-27 21:44:35
17,,,2022-08-27 21:44:35,2022-08-28 21:44:35
