id ,kode_komponen,nama_komponen,created_at,updated_at
1,001-TC,TURBINE CASING,2022-08-11 21:44:35,2022-08-11 21:44:35
2,002-CC,CASING CASE,2022-08-12 21:44:35,2022-08-12 21:44:35
3,003-LP,LABYRINTH PACKING,2022-08-13 21:44:35,2022-08-13 21:44:35
4,004-NZ,NOZZLE,2022-08-14 21:44:35,2022-08-14 21:44:35
5,005-SBS,STATIONARY BLADE SEAT,2022-08-15 21:44:35,2022-08-15 21:44:35
6,006-ESVC,EMERGENCY STOP VALVE CASING,2022-08-16 21:44:35,2022-08-16 21:44:35
7,008-VV,VALVE,2022-08-17 21:44:35,2022-08-17 21:44:35
8,009-GVCC,GOVERNOR VALVE CASING COVER,2022-08-18 21:44:35,2022-08-18 21:44:35
9,010-VS,VALVE STEM,2022-08-19 21:44:35,2022-08-19 21:44:35
10,011-GV,GOVERNOR VALVE ,2022-08-20 21:44:35,2022-08-20 21:44:35
11,013-TS,TURBINE SHAFT,2022-08-21 21:44:35,2022-08-21 21:44:35
12,014-DR,DISC ROTOR,2022-08-22 21:44:35,2022-08-22 21:44:35
13,015-OTS,OVERSPEED TRIP SHAFT,2022-08-23 21:44:35,2022-08-23 21:44:35
14,016-MB,MOVING BLADE,2022-08-24 21:44:35,2022-08-24 21:44:35
15,017-BM,BEARING METAL,2022-08-25 21:44:35,2022-08-25 21:44:35
16,018-PN,PINION,2022-08-26 21:44:35,2022-08-26 21:44:35
17,019-TBM,THRUST BEARING METAL,2022-08-27 21:44:35,2022-08-27 21:44:35
